rank|pos_rank|player|trend|avg_pick|hi_lo|pct_drafted
170|54|Tank Bigsby RB • PHI *|-5|149.76|113/186|56.8
171|18|Hunter Henry TE • NE *|-12|149.84|109/189|59.2
172|8|Harrison Butker K • KC *|+10|150.38|105/190|58.2
173|12|Jaguars DST • JAC *|+16|150.80|111/189|68.8
174|13|Falcons DST • ATL *|+3|151.53|100/194|36.9
175|14|Saints DST • NO *|+11|151.79|102/192|45.5
176|9|Nick Folk K • ATL *|-12|152.04|99/193|57.5
177|25|Fernando Mendoza QB • LV *|-6|152.27|84/191|20.1
178|10|Harrison Mevis K • LAR *|+1|152.38|105/192|82.1
179|15|Cowboys DST • DAL *||152.84|100/206|23.8
180|58|Tank Dell WR • HOU *|-32|153.15|111/188|29.0
181|59|Calvin Ridley WR • TEN *|+9|153.51|116/186|48.4
182|55|Alvin Kamara RB • NO *|-33|153.64|111/189|45.0
183|56|Tyjae Spears RB • TEN *|+13|154.86|111/188|36.9
184|11|Evan McPherson K • CIN *||155.51|110/193|46.2
185|12|Cairo Santos K • CHI *|-7|155.62|114/194|71.7
186|60|Rashod Bateman WR • BAL *|-40|155.72|103/193|40.3
187|16|Bears DST • CHI *|+5|156.70|105/208|29.0
188|17|Bills DST • BUF *|+6|157.56|116/198|36.4
189|57|Brian Robinson Jr. RB • ATL *|-6|157.77|116/191|40.5
190|13|Eddy Pineiro K • SF *|-20|157.98|113/196|55.5
191|18|Chiefs DST • KC *|+8|158.26|115/191|38.6
192|19|Browns DST • CLE *|+5|158.48|112/196|36.9
193|19|AJ Barner TE • SEA *|-6|158.51|106/196|29.7
194|61|Jalen Nailor WR • LV *||158.99|117/194|20.4
195|20|Packers DST • GB *|+7|159.08|111/202|31.2
196|14|Chase McLaughlin K • TB *|-1|159.30|114/201|54.5
197|20|Dalton Schultz TE • HOU *|+1|160.05|122/194|36.1
198|21|Kenyon Sadiq TE • NYJ *|-24|160.48|114/202|30.2
199|58|Dylan Sampson RB • CLE *|+4|160.75|124/199|26.5
200|15|Wil Lutz K • DEN *|+1|160.80|116/201|35.1
201|16|Will Reichard K • MIN *|+3|160.96|114/202|51.6
202|62|Keenan Allen WR • IND *||161.56|128/200|22.9
203|17|Tyler Loop K • BAL *|-10|162.47|114/196|56.3
204|63|Cooper Kupp WR • SEA *|+3|163.00|98/201|20.1
205|59|Jordan James RB • SF *|-20|163.12|123/192|32.9
206|64|Tre Tucker WR • LV *|+2|163.55|111/198|23.6
207|65|Denzel Boston WR • CLE *|-7|164.01|128/191|30.7
208|66|Jauan Jennings WR • MIN *|-27|165.40|133/196|30.7
